,title,link
40,NASA's DART asteroid smash flung 2 million pounds of rock into ...,https://news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LnNwYWNlLmNvbS9kYXJ0LWFzdGVyb2lkLWltcGFjdC1lamVjdGEtZmluZGluZ3MtYmV0YdIBAA?hl=en-US&gl=US&ceid=US%3Aen
41,Giant asteroid to fly by Earth today; NASA reveals details | Mint,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9zY2llbmNlL25ld3MvZ2lhbnQtYXN0ZXJvaWQtdG8tZmx5LWJ5LWVhcnRoLXRvZGF5LW5hc2EtcmV2ZWFscy1kZXRhaWxzLTExNjcxNTAxNDc5MDE5Lmh0bWzSAXdodHRwczovL3d3dy5saXZlbWludC5jb20vc2NpZW5jZS9uZXdzL2dpYW50LWFzdGVyb2lkLXRvLWZseS1ieS1lYXJ0aC10b2RheS1uYXNhLXJldmVhbHMtZGV0YWlscy9hbXAtMTE2NzE1MDE0NzkwMTkuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
42,NASA will crash a spacecraft into a 525-foot-wide asteroid in September. Here's how to watch it,https://news.google.com/articles/CBMiT2h0dHBzOi8vcGh5cy5vcmcvbmV3cy8yMDIyLTA4LW5hc2Etc3BhY2VjcmFmdC1mb290LXdpZGUtYXN0ZXJvaWQtc2VwdGVtYmVyLmh0bWzSAU5odHRwczovL3BoeXMub3JnL25ld3MvMjAyMi0wOC1uYXNhLXNwYWNlY3JhZnQtZm9vdC13aWRlLWFzdGVyb2lkLXNlcHRlbWJlci5hbXA?hl=en-US&gl=US&ceid=US%3Aen
43,How an asteroid impact would transform the food we eat,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmJiYy5jb20vZnV0dXJlL2FydGljbGUvMjAyMjEwMTMtaG93LWFuLWFzdGVyb2lkLWltcGFjdC13b3VsZC10cmFuc2Zvcm0tdGhlLWZvb2Qtd2UtZWF00gEA?hl=en-US&gl=US&ceid=US%3Aen
44,In Pics: NASA alert as 5 asteroids set to make close approach to Earth,https://news.google.com/articles/CBMigAFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL3Bob3Rvcy9pbi1waWNzLW5hc2EtYWxlcnQtYXMtNS1hc3Rlcm9pZHMtc2V0LXRvLW1ha2UtY2xvc2UtYXBwcm9hY2gtdG8tZWFydGgtNzE2NzAyMTQ4OTk2MTkuaHRtbNIBhAFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL2FtcC9waG90b3MvaW4tcGljcy1uYXNhLWFsZXJ0LWFzLTUtYXN0ZXJvaWRzLXNldC10by1tYWtlLWNsb3NlLWFwcHJvYWNoLXRvLWVhcnRoLTcxNjcwMjE0ODk5NjE5Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
45,56-foot asteroid hurtling towards Earth TODAY; NASA issues warning,https://news.google.com/articles/CBMifmh0dHBzOi8vdGVjaC5oaW5kdXN0YW50aW1lcy5jb20vdGVjaC9uZXdzLzU2Zm9vdC1hc3Rlcm9pZC1odXJ0bGluZy10b3dhcmRzLWVhcnRoLXRvZGF5LW5hc2EtaXNzdWVzLXdhcm5pbmctNzE2Njc3ODk4NDQ0MjIuaHRtbNIBggFodHRwczovL3RlY2guaGluZHVzdGFudGltZXMuY29tL2FtcC90ZWNoL25ld3MvNTZmb290LWFzdGVyb2lkLWh1cnRsaW5nLXRvd2FyZHMtZWFydGgtdG9kYXktbmFzYS1pc3N1ZXMtd2FybmluZy03MTY2Nzc4OTg0NDQyMi5odG1s?hl=en-US&gl=US&ceid=US%3Aen
46,Green comet will appear in the night sky for the first time since the Stone Age,https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8zMS93b3JsZC9ncmVlbi1jb21ldC1jLTIwMjItZTMtd2F0Y2gtc2NuL2luZGV4Lmh0bWzSAVNodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDIzLzAxLzMxL3dvcmxkL2dyZWVuLWNvbWV0LWMtMjAyMi1lMy13YXRjaC1zY24vaW5kZXguaHRtbA?hl=en-US&gl=US&ceid=US%3Aen
47,"DART impact changed asteroid’s orbit, NASA confirms",https://news.google.com/articles/CBMiSGh0dHBzOi8vZWFydGhza3kub3JnL3NwYWNlL2RhcnQtaW1wYWN0LWFuLWFzdGVyb2lkLW9uLXNlcHRlbWJlci0yNi0yMDIyL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
48,OSIRIS-REx asteroid samples will land on Earth in 2023 and ...,https://news.google.com/articles/CBMiQWh0dHBzOi8vd3d3LnNwYWNlLmNvbS9vc2lyaXMtcmV4LWFzdGVyb2lkLXNhbXBsZS1kZWxpdmVyeS1wcmV2aWV30gEA?hl=en-US&gl=US&ceid=US%3Aen
49,'Tiny' asteroid strikes Earth testing early warning system,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMi8wMy8xNi93b3JsZC9hc3Rlcm9pZC10ZXN0cy13YXJuaW5nLXN5c3RlbS1zY24vaW5kZXguaHRtbNIBVWh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjIvMDMvMTYvd29ybGQvYXN0ZXJvaWQtdGVzdHMtd2FybmluZy1zeXN0ZW0tc2NuL2luZGV4Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
50,The asteroid that wiped out the dinosaurs caused a ‘megatsunami’,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9jbGltYXRlLWVudmlyb25tZW50LzIwMjIvMTAvMTkvdHN1bmFtaS1kaW5vc2F1ci1tZXRlb3ItZXh0aW5jdGlvbi13YXZlcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
